Species,Genus,Sub-family,Family,Order
crawfordi,Notiosorex,Soricinae,Soricidae,Eulipotyphla
aethiopicus,Paraechinus,Erinaceinae,Erinaceidae,Eulipotyphla
breweri,Parascalops,Scalopinae,Talpidae,Eulipotyphla
leucura,Parascaptor,Talpinae,Talpidae,Eulipotyphla
truei,Podogymnura,Galericinae,Erinaceidae,Eulipotyphla
aquaticus,Scalopus,Scalopinae,Talpidae,Eulipotyphla
oweni,Scapanulus,Talpinae,Talpidae,Eulipotyphla
sp,Scapanus,Scalopinae,Talpidae,Eulipotyphla
moschatus,Scaptochirus,Talpinae,Talpidae,Eulipotyphla
fusicauda,Scaptonyx,Talpinae,Talpidae,Eulipotyphla
cubanus,Solenodon,Solenodontinae,Solenodontidae,Eulipotyphla
paradoxus,Solenodon,Solenodontinae,Solenodontidae,Eulipotyphla
alpinus,Sorex,Soricinae,Soricidae,Eulipotyphla
araneus,Sorex,Soricinae,Soricidae,Eulipotyphla
caecutiens,Sorex,Soricinae,Soricidae,Eulipotyphla
cinereus,Sorex,Soricinae,Soricidae,Eulipotyphla
coronatus,Sorex,Soricinae,Soricidae,Eulipotyphla
minutus,Sorex,Soricinae,Soricidae,Eulipotyphla
monticolus,Sorex,Soricinae,Soricidae,Eulipotyphla
nigrescens,Soriculus,Soricinae,Soricidae,Eulipotyphla
etruscus,Suncus,Crocidurinae,Soricidae,Eulipotyphla
murinus,Suncus,Crocidurinae,Soricidae,Eulipotyphla
lunaris,Sylvisorex,Crocidurinae,Soricidae,Eulipotyphla
europaea,Talpa,Talpinae,Talpidae,Eulipotyphla
soricipes,Uropsilus,Uropsilinae,Talpidae,Eulipotyphla
talpoides,Urotrichus,Talpinae,Talpidae,Eulipotyphla
sapiens,Homo,Homininae,Hominidae,Primates
vampyrus,Pteropus,Pteropodinae,Pteropodidae,Chiroptera
sp,Chodsigoa,Nectogalinae,Soricidae,Eulipotyphla
musculus,Mus,Murinae,Muridae,Rodentia
sp,Equus,Equinae,Equidae,Perissodactyla
lupus,Canis,Caninae,Canidae,Carnivora
scrofa,Sus,Suinae,Suidae,Artiodactyla
sp,Didelphis,Didelphinae,Didelphidae,Didelphimorphia
celebensis,Acerodon,Pteropodinae,Pteropodidae,Chiroptera
jubatus,Acerodon,Pteropodinae,Pteropodidae,Chiroptera
macklotii,Acerodon,Pteropodinae,Pteropodidae,Chiroptera
jubatus,Acinonyx,Felinae,Felidae,Carnivora
fulvescens,Acipenser,Acipenserinae,Acipenseridae,Acipenseriformes
nasomaculatus,Addax,Antilopinae,Bovidae,Artiodactyla
paca,Agouti,Cuniculinae,Cuniculidae,Rodentia
buselaphus,Alcelaphus,Alcelaphinae,Bovidae,Artiodactyla
alces,Alces,Cervinae,Cervidae,Artiodactyla
fortis,Alexandromys,Cricetinae,Cricetidae,Rodentia
limnophilus,Alexandromys,Cricetinae,Cricetidae,Rodentia
maximowiczii,Alexandromys,Cricetinae,Cricetidae,Rodentia
oeconomus,Alexandromys,Cricetinae,Cricetidae,Rodentia
pelagicus,Alopias,Alopiinae,Alopiidae,Lamniformes
sp,Alpiscaptulus,Talpinae,Talpidae,Soricomorpha
lervia,Ammotragus,Bovinae,Bovidae,Artiodactyla
beecrofti,Anomalurus,Anomalurinae,Anomaluridae,Rodentia
derbianus,Anomalurus,Anomalurinae,Anomaluridae,Rodentia
agrarius,Apodemus,Murinae,Muridae,Rodentia
draco,Apodemus,Murinae,Muridae,Rodentia
latronum,Apodemus,Murinae,Muridae,Rodentia
peninsulae,Apodemus,Murinae,Muridae,Rodentia
semotus,Apodemus,Murinae,Muridae,Rodentia
sylvaticus,Apodemus,Murinae,Muridae,Rodentia
binturong,Arctictis,Viverrinae,Viverridae,Carnivora
australis,Arctocephalus,Otariinae,Otariidae,Carnivora
galapagoensis,Arctocephalus,Otariinae,Otariidae,Carnivora
gazella,Arctocephalus,Otariinae,Otariidae,Carnivora
pusillus,Arctocephalus,Otariinae,Otariidae,Carnivora
townsendi,Arctocephalus,Otariinae,Otariidae,Carnivora
simus,Arctodus,Ursinae,Ursidae,Carnivora
trivirgata,Arctogalidia,Viverrinae,Viverridae,Carnivora
hartii,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera
hirsutus,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera
jamaicensis,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera
lituratus,Artibeus,Stenodermatinae,Phyllostomidae,Chiroptera
nairobae,Arvicanthis,Murinae,Muridae,Rodentia
niloticus,Arvicanthis,Murinae,Muridae,Rodentia
somalicus,Arvicanthis,Murinae,Muridae,Rodentia
amphibius,Arvicola,Cricetinae,Cricetidae,Rodentia
chamek,Ateles,Atelinae,Atelidae,Primates
geoffroyi,Ateles,Atelinae,Atelidae,Primates
paniscus,Ateles,Atelinae,Atelidae,Primates
acutorostrata,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
bonaerensis,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
borealis,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
brydei,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
edeni,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
musculus,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
omurai,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
physalus,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
ricei,Balaenoptera,Balaenopterinae,Balaenopteridae,Cetacea
beijingensis,Barbastella,Vespertilioninae,Vespertilionidae,Chiroptera
bison,Bison,Bovinae,Bovidae,Artiodactyla
bonasus,Bison,Bovinae,Bovidae,Artiodactyla
priscus,Bison,Bovinae,Bovidae,Artiodactyla
gaurus,Bos,Bovinae,Bovidae,Artiodactyla
grunniens,Bos,Bovinae,Bovidae,Artiodactyla
javanicus,Bos,Bovinae,Bovidae,Artiodactyla
primigenius,Bos,Bovinae,Bovidae,Artiodactyla
taurus,Bos,Bovinae,Bovidae,Artiodactyla
cavernarum,Brachyphylla,Phyllostominae,Phyllostomidae,Chiroptera
chacoensis,Cabassous,Dasypodinae,Dasypodidae,Cingulata
tatouay,Cabassous,Dasypodinae,Dasypodidae,Cingulata
jacchus,Callithrix,Callitrichinae,Callitrichidae,Primates
ursinus,Callorhinus,Otariinae,Otariidae,Carnivora
adamsi,Callosciurus,Sciurinae,Sciuridae,Rodentia
albescens,Callosciurus,Sciurinae,Sciuridae,Rodentia
caniceps,Callosciurus,Sciurinae,Sciuridae,Rodentia
erythraeus,Callosciurus,Sciurinae,Sciuridae,Rodentia
finlaysonii,Callosciurus,Sciurinae,Sciuridae,Rodentia
inornatus,Callosciurus,Sciurinae,Sciuridae,Rodentia
nigrovittatus,Callosciurus,Sciurinae,Sciuridae,Rodentia
sp,Camelops,Camelinae,Camelidae,Artiodactyla
bactrianus,Camelus,Camelinae,Camelidae,Artiodactyla
dromedarius,Camelus,Camelinae,Camelidae,Artiodactyla
ferus,Camelus,Camelinae,Camelidae,Artiodactyla
aegagrus,Capra,Bovinae,Bovidae,Artiodactyla
caucasica,Capra,Bovinae,Bovidae,Artiodactyla
cylindricornis,Capra,Bovinae,Bovidae,Artiodactyla
falconeri,Capra,Bovinae,Bovidae,Artiodactyla
hircus,Capra,Bovinae,Bovidae,Artiodactyla
sibirica,Capra,Bovinae,Bovidae,Artiodactyla
capreolus,Capreolus,Cervinae,Cervidae,Artiodactyla
pygargus,Capreolus,Cervinae,Cervidae,Artiodactyla
milneedwardsii,Capricornis,Bovinae,Bovidae,Artiodactyla
sumatraensis,Capricornis,Bovinae,Bovidae,Artiodactyla
indicus,Caprimulgus,Caprimulginae,Caprimulgidae,Caprimulgiformes
pilorides,Capromys,Capromyinae,Capromyidae,Rodentia
caracal,Caracal,Felinae,Felidae,Carnivora
syrichta,Carlito,Tarsiinae,Tarsiidae,Primates
argynnis,Casinycteris,Pteropodinae,Pteropodidae,Chiroptera
campomaanensis,Casinycteris,Pteropodinae,Pteropodidae,Chiroptera
ophiodon,Casinycteris,Pteropodinae,Pteropodidae,Chiroptera
canadensis,Castor,Castorinae,Castoridae,Rodentia
wagneri,Catagonus,Tayassuinae,Tayassuidae,Artiodactyla
badia,Catopuma,Felinae,Felidae,Carnivora
temminckii,Catopuma,Felinae,Felidae,Carnivora
pygmaea,Cebuella,Callitrichinae,Callitrichidae,Primates
callipygus,Cephalophus,Bovinae,Bovidae,Artiodactyla
dorsalis,Cephalophus,Bovinae,Bovidae,Artiodactyla
natalensis,Cephalophus,Bovinae,Bovidae,Artiodactyla
nigrifrons,Cephalophus,Bovinae,Bovidae,Artiodactyla
ogilbyi,Cephalophus,Bovinae,Bovidae,Artiodactyla
rufilatus,Cephalophus,Bovinae,Bovidae,Artiodactyla
simum,Ceratotherium,Rhinocerotinae,Rhinocerotidae,Perissodactyla
canadensis,Cervus,Cervinae,Cervidae,Artiodactyla
elaphus,Cervus,Cervinae,Cervidae,Artiodactyla
hanglu,Cervus,Cervinae,Cervidae,Artiodactyla
nippon,Cervus,Cervinae,Cervidae,Artiodactyla
leucogaster,Chaerephon,Molossinae,Molossidae,Chiroptera
pumilus,Chaerephon,Molossinae,Molossidae,Chiroptera
vellerosus,Chaetophractus,Dasypodinae,Dasypodidae,Cingulata
villosus,Chaetophractus,Dasypodinae,Dasypodidae,Cingulata
sp,Chain,Caninae,Canidae,Carnivora
striata,Channa,Channinae,Channidae,Perciformes
crossleyi,Cheirogaleus,Cheirogaleinae,Cheirogaleidae,Primates
major,Cheirogaleus,Cheirogaleinae,Cheirogaleidae,Primates
medius,Cheirogaleus,Cheirogaleinae,Cheirogaleidae,Primates
lucifer,Cheracebus,Pitheciinae,Pitheciidae,Primates
regulus,Cheracebus,Pitheciinae,Pitheciidae,Primates
torquatus,Cheracebus,Pitheciinae,Pitheciidae,Primates
gud,Chionomys,Cricetinae,Cricetidae,Rodentia
nivalis,Chionomys,Cricetinae,Cricetidae,Rodentia
roberti,Chionomys,Cricetinae,Cricetidae,Rodentia
salvini,Chiroderma,Phyllostominae,Phyllostomidae,Chiroptera
didactylus,Choloepus,Megalonychinae,Megalonychidae,Pilosa
hoffmanni,Choloepus,Megalonychinae,Megalonychidae,Pilosa
owstoni,Chrotogale,Hemigalinae,Viverridae,Carnivora
civetta,Civettictis,Viverrinae,Viverridae,Carnivora
gapperi,Clethrionomys,Cricetinae,Cricetidae,Rodentia
hankugensis,Cobitis,Cobitinae,Cobitidae,Cypriniformes
antiquitatis,Coelodonta,Rhinocerotinae,Rhinocerotidae,Perissodactyla
