Species,Genus,Sub-family,Family,Order
bottae,Eptesicus,Vespertilioninae,Vespertilionidae,Chiroptera
nilssonii,Eptesicus,Vespertilioninae,Vespertilionidae,Chiroptera
robustus,Eschrichtius,Eschrichtiinae,Eschrichtiidae,Cetacea
australis,Eubalaena,Balaeninae,Balaenidae,Cetacea
glacialis,Eubalaena,Balaeninae,Balaenidae,Cetacea
rufifrons,Eudorcas,Antilopinae,Bovidae,Artiodactyla
thomsonii,Eudorcas,Antilopinae,Bovidae,Artiodactyla
rufescens,Eugongylus,Eugongylinae,Scincidae,Squamata
macaco,Eulemur,Lemurinae,Lemuridae,Primates
rubriventer,Eulemur,Lemurinae,Lemuridae,Primates
rufifrons,Eulemur,Lemurinae,Lemuridae,Primates
glaucinus,Eumops,Molossinae,Molossidae,Chiroptera
patagonicus,Eumops,Molossinae,Molossidae,Chiroptera
concinnus,Exilisciurus,Callosciurinae,Sciuridae,Rodentia
catus,Felis,Felinae,Felidae,Carnivora
margarita,Felis,Felinae,Felidae,Carnivora
silvestris,Felis,Felinae,Felidae,Carnivora
fossana,Fossa,Euplerinae,Eupleridae,Carnivora
anselli,Fukomys,Bathyerginae,Bathyergidae,Rodentia
damarensis,Fukomys,Bathyerginae,Bathyergidae,Rodentia
bennettii,Gazella,Bovinae,Bovidae,Artiodactyla
cuvieri,Gazella,Bovinae,Bovidae,Artiodactyla
dorcas,Gazella,Bovinae,Bovidae,Artiodactyla
erlangeri,Gazella,Bovinae,Bovidae,Artiodactyla
gazella,Gazella,Bovinae,Bovidae,Artiodactyla
leptoceros,Gazella,Bovinae,Bovidae,Artiodactyla
spekei,Gazella,Bovinae,Bovidae,Artiodactyla
speki,Gazella,Bovinae,Bovidae,Artiodactyla
subgutturosa,Gazella,Bovinae,Bovidae,Artiodactyla
camelopardalis,Giraffa,Giraffinae,Giraffidae,Artiodactyla
giraffa,Giraffa,Giraffinae,Giraffidae,Artiodactyla
reticulata,Giraffa,Giraffinae,Giraffidae,Artiodactyla
tippelskirchi,Giraffa,Giraffinae,Giraffidae,Artiodactyla
glis,Glis,Glirinae,Gliridae,Rodentia
commissarisi,Glossophaga,Phyllostominae,Phyllostomidae,Chiroptera
leachii,Glossophaga,Phyllostominae,Phyllostomidae,Chiroptera
mutica,Glossophaga,Phyllostominae,Phyllostomidae,Chiroptera
soricina,Glossophaga,Phyllostominae,Phyllostomidae,Chiroptera
beringei,Gorilla,Homininae,Hominidae,Primates
gorilla,Gorilla,Homininae,Hominidae,Primates
polionops,Grammomys,Murinae,Muridae,Rodentia
surdaster,Grammomys,Murinae,Muridae,Rodentia
kelleni,Graphiurus,Glirinae,Gliridae,Rodentia
murinus,Graphiurus,Glirinae,Gliridae,Rodentia
gulo,Gulo,Martinae,Mustelidae,Carnivora
spadiceus,Hadrosciurus,Sciurinae,Sciuridae,Rodentia
grypus,Halichoerus,Phocinae,Phocidae,Carnivora
francisci,Haringtonhippus,Equinae,Equidae,Perissodactyla
malayanus,Helarctos,Ursinae,Ursidae,Carnivora
hylocrius,Hemitragus,Caprinae,Bovidae,Artiodactyla
jemlahicus,Hemitragus,Caprinae,Bovidae,Artiodactyla
brachyurus,Herpestes,Herpestinae,Herpestidae,Carnivora
ichneumon,Herpestes,Herpestinae,Herpestidae,Carnivora
naso,Herpestes,Herpestinae,Herpestidae,Carnivora
saldiasi,Hippidion,Equinae,Equidae,Perissodactyla
amphibius,Hippopotamus,Hippopotaminae,Hippopotamidae,Artiodactyla
armiger,Hipposideros,Hipposiderinae,Hipposideridae,Chiroptera
cervinus,Hipposideros,Hipposiderinae,Hipposideridae,Chiroptera
diadema,Hipposideros,Hipposiderinae,Hipposideridae,Chiroptera
dinops,Hipposideros,Hipposiderinae,Hipposideridae,Chiroptera
lylei,Hipposideros,Hipposiderinae,Hipposideridae,Chiroptera
pendleburyi,Hipposideros,Hipposiderinae,Hipposideridae,Chiroptera
pratti,Hipposideros,Hipposiderinae,Hipposideridae,Chiroptera
equinus,Hippotragus,Bovinae,Bovidae,Artiodactyla
leucophaeus,Hippotragus,Bovinae,Bovidae,Artiodactyla
niger,Hippotragus,Bovinae,Bovidae,Artiodactyla
hydrochaeris,Hydrochoerus,Caviinae,Caviidae,Rodentia
inermis,Hydropotes,Cervinae,Cervidae,Artiodactyla
leptonyx,Hydrurga,Phocinae,Phocidae,Carnivora
klossii,Hylobates,Hylobatinae,Hylobatidae,Primates
moloch,Hylobates,Hylobatinae,Hylobatidae,Primates
aeta,Hylomyscus,Murinae,Muridae,Rodentia
alleni,Hylomyscus,Murinae,Muridae,Rodentia
anselli,Hylomyscus,Murinae,Muridae,Rodentia
denniae,Hylomyscus,Murinae,Muridae,Rodentia
endorobae,Hylomyscus,Murinae,Muridae,Rodentia
